try,{cpi},{cpi}*100,{l1ds},{l1is},{l2s},{l2s}/100,{l1da},{l1ia},{l2a},{l1da}*100,{l1ia}*100,{l2a}*20,{cl},Fomula,(Formula-1500)/4,Area (mm^2),Peak Power (W),PP*5
9,2.63484,263.48400,384,128,512,5.12,2,2,8,200,200,160,64,1567.05828420947,16.7645710523675,24.8,6.7,33.5
3,2.63484,263.48400,128,384,512,5.12,2,2,8,200,200,160,64,1567.05828420947,16.7645710523675,24.2,6.8,34
15,2.641737,264.173700,128,128,4096,40.96,2,2,8,200,200,160,64,1573.65166798208,18.41291699552,29.7,6,30
1,2.63484,263.48400,128,128,4096,40.96,2,2,16,200,200,320,64,1579.65049880007,19.9126247000175,29.6,6,30
10,2.63484,263.48400,384,128,512,5.12,2,2,16,200,200,320,64,1585.35034953883,21.3375873847075,24.7,6.7,33.5
4,2.63484,263.48400,128,384,512,5.12,2,2,16,200,200,320,64,1585.35034953883,21.3375873847075,24.2,6.8,34
13,2.641665,264.166500,256,128,4096,40.96,2,2,8,200,200,160,64,1602.49162714858,25.622906787145,31.3,6.4,32
16,2.641737,264.173700,128,256,4096,40.96,2,2,8,200,200,160,64,1602.62266103279,25.6556652581975,31.1,6.4,32
2,2.63484,263.48400,128,256,4096,40.96,2,2,16,200,200,320,64,1608.39517288907,27.0987932222675,31,6.4,32
7,2.63484,263.48400,256,128,4096,40.96,2,2,16,200,200,320,64,1608.39517288907,27.0987932222675,31.1,6.4,32
5,2.63484,263.48400,128,384,4096,40.96,2,2,8,200,200,160,64,1609.73976997799,27.4349424944975,35.4,7,35
11,2.63484,263.48400,384,128,4096,40.96,2,2,8,200,200,160,64,1609.73976997799,27.4349424944975,36,7,35
12,2.63484,263.48400,384,128,4096,40.96,2,2,16,200,200,320,64,1628.03183530735,32.0079588268375,35.8,7,35
6,2.63484,263.48400,128,384,4096,40.96,2,2,16,200,200,320,64,1628.03183530735,32.0079588268375,35.2,7.1,35.5
14,2.641665,264.166500,256,256,4096,40.96,2,2,8,200,200,160,64,1631.46025146844,32.86506286711,32.7,6.8,34
8,2.63484,263.48400,256,256,4096,40.96,2,2,16,200,200,320,64,1637.13984697807,34.2849617445175,32.5,6.8,34
23,2.721304,272.130400,128,128,512,5.12,2,2,8,200,200,160,64,1673.14599064291,43.2864976607275,18.5,5.7,28.5
17,2.718281,271.828100,128,128,512,5.12,2,2,16,200,200,320,64,1687.66178555493,46.9154463887325,18.5,5.7,28.5
21,2.719746,271.974600,256,128,512,5.12,2,2,8,200,200,160,64,1701.88792594853,50.4719814871325,20,6,30
24,2.721304,272.130400,128,256,512,5.12,2,2,8,200,200,160,64,1704.8143690147,51.203592253675,19.9,6.1,30.5
18,2.718281,271.828100,256,128,512,5.12,2,2,16,200,200,320,64,1719.22474328988,54.80618582247,20,6.1,30.5
19,2.718561,271.856100,128,256,512,5.12,2,2,16,200,200,320,64,1719.75607082587,54.9390177064675,19.9,6.1,30.5
22,2.719746,271.974600,256,256,512,5.12,2,2,8,200,200,160,64,1733.50194314881,58.3754857872025,21.5,6.5,32.5
20,2.718931,271.893100,256,256,512,5.12,2,2,16,200,200,320,64,1752.04395541949,63.0109888548725,21.5,6.5,32.5
